# category|youtube_id|title|duration_seconds|description
Music|RBumgq5yVrA|Passenger / Let Her Go (Official Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|JGwWNGJdvx8|Ed Sheeran - Shape of You (Official Music Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|nfWlot6h_JM|Taylor Swift - Shake It Off|240|Verified embeddable YouTube video for MINITUBE.
Music|kTHNpusq654|Katy Perry - Hot N Cold (Official Music Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|RgKAFK5djSk|Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack|240|Verified embeddable YouTube video for MINITUBE.
Music|9bZkp7q19f0|PSY - GANGNAM STYLE(강남스타일) M/V|252|Verified embeddable YouTube video for MINITUBE.
Music|kJQP7kiw5Fk|Luis Fonsi - Despacito ft. Daddy Yankee|282|Verified embeddable YouTube video for MINITUBE.
Music|fJ9rUzIMcZQ|Queen – Bohemian Rhapsody (Official Video Remastered)|355|Verified embeddable YouTube video for MINITUBE.
Music|dQw4w9WgXcQ|Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster)|213|Verified embeddable YouTube video for MINITUBE.
Comedy|jNQXAC9IVRw|Me at the zoo|19|Verified embeddable YouTube video for MINITUBE.
Music|OPf0YbXqDm0|Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars|240|Verified embeddable YouTube video for MINITUBE.
Comedy|XqZsoesa55w|Baby Shark Dance / #babyshark Most Viewed Video / Animal Songs / PINKFONG Songs for Children|131|Verified embeddable YouTube video for MINITUBE.
Comedy|J---aiyznGQ|Keyboard Cat! - THE ORIGINAL!|55|Verified embeddable YouTube video for MINITUBE.
Comedy|VqB1uoDTdKM|DOOR STUCK! DOOR STUCK!|180|Verified embeddable YouTube video for MINITUBE.
Comedy|hY7m5jjJ9mM|CATS will make you LAUGH YOUR HEAD OFF - Funny CAT compilation|420|Verified embeddable YouTube video for MINITUBE.
Tech|rfscVS0vtbw|Learn Python - Full Course for Beginners [Tutorial]|15200|Verified embeddable YouTube video for MINITUBE.
Tech|zOjov-2OZ0E|Introduction to Programming and Computer Science - Full Course|36000|Verified embeddable YouTube video for MINITUBE.
Tech|aircAruvnKk|But what is a neural network? / Deep learning chapter 1|1240|Verified embeddable YouTube video for MINITUBE.
Tech|8D9XnnjFGMs|GraphQL with Apollo Server 2.0|5400|Verified embeddable YouTube video for MINITUBE.
Education|iG9CE55wbtY|Do schools kill creativity? / Sir Ken Robinson / TED|1160|Verified embeddable YouTube video for MINITUBE.
Tech|PkZNo7MFNFg|Learn JavaScript - Full Course for Beginners|10200|Verified embeddable YouTube video for MINITUBE.
Tech|M7lc1UVf-VE|YouTube Developers Live: Embedded Web Player Customization|600|Verified embeddable YouTube video for MINITUBE.
Travel|LXb3EKWsInQ|COSTA RICA IN 4K 60fps HDR (ULTRA HD)|510|Verified embeddable YouTube video for MINITUBE.
Travel|1La4QzGeaaQ|Peru 8K HDR 60FPS (FUHD)|480|Verified embeddable YouTube video for MINITUBE.
Education|L_jWHffIx5E|Smash Mouth - All Star|240|Verified embeddable YouTube video for MINITUBE.
Fitness|UBMk30rjy0o|20 MIN FULL BODY WORKOUT // No Equipment / Pamela Reif|1200|Verified embeddable YouTube video for MINITUBE.
Comedy|0e3GPea1Tyg|$456,000 Squid Game In Real Life!|960|Verified embeddable YouTube video for MINITUBE.
DIY|EngW7tLk6R8|Sample Videos / Dummy Videos For Demo Use|60|Verified embeddable YouTube video for MINITUBE.
DIY|ScMzIvxBSi4|Placeholder Video|60|Verified embeddable YouTube video for MINITUBE.
DIY|nMfPqeZjc2c|White Noise Black Screen / Sleep, Study, Focus / 10 Hours|36000|Verified embeddable YouTube video for MINITUBE.
Music|LsoLEjrDogU|Bruno Mars - Finesse (Remix) (feat. Cardi B) (Official Music Video)|217|Verified embeddable YouTube video for MINITUBE.
Music|fLexgOxsZu0|Bruno Mars - The Lazy Song (Official Music Video)|215|Verified embeddable YouTube video for MINITUBE.
Music|pRpeEdMmmQ0|Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song)|240|Verified embeddable YouTube video for MINITUBE.
Music|uelHwf8o7_U|Eminem - Love The Way You Lie ft. Rihanna|240|Verified embeddable YouTube video for MINITUBE.
Music|QJO3ROT-A4E|One Direction - What Makes You Beautiful (Official Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|kffacxfA7G4|Justin Bieber - Baby ft. Ludacris|240|Verified embeddable YouTube video for MINITUBE.
Music|lp-EO5I60KA|Ed Sheeran - Thinking Out Loud (Official Music Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|Zi_XLOBDo_Y|Michael Jackson - Billie Jean (Official Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|09R8_2nJtjg|Maroon 5 - Sugar (Official Music Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|kXYiU_JCYtU|Numb (Official Music Video) [4K UPGRADE] – Linkin Park|240|Verified embeddable YouTube video for MINITUBE.
Music|N9qYF9DZPdw|"Weird Al" Yankovic - White & Nerdy (Official 4K Video)|200|Verified embeddable YouTube video for MINITUBE.
Music|astISOttCQ0|Gummibär - The Gummy Bear Song - Long English Version (Official Video)|180|Verified embeddable YouTube video for MINITUBE.
Education|5MgBikgcWnY|The first 20 hours -- how to learn anything / Josh Kaufman / TEDxCSU|1200|Verified embeddable YouTube video for MINITUBE.
Music|1G4isv_Fylg|Coldplay - Paradise (Official Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|0KSOMA3QBU0|Katy Perry - Dark Horse ft. Juicy J|240|Verified embeddable YouTube video for MINITUBE.
Music|450p7goxZqg|John Legend - All of Me (Official Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|hHUbLv4ThOo|Pitbull, Ke$ha - Timber (featuring Ke$ha - Official Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|nSDgHBxUbVQ|Ed Sheeran - Photograph (Official Music Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|O4irXQhgMqg|The Rolling Stones - Paint It, Black (Official Lyric Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|fRh_vgS2dFE|Justin Bieber - Sorry (PURPOSE : The Movement)|240|Verified embeddable YouTube video for MINITUBE.
Comedy|ZXsQAXx_ao0|Shia LaBeouf "Just Do It" Motivational Speech (Original Video by LaBeouf, Rönkkö & Turner)|300|Verified embeddable YouTube video for MINITUBE.
Music|1Q8fG0TtVAY|WONDER WOMAN - Official Trailer [HD]|150|Verified embeddable YouTube video for MINITUBE.
Music|b1kbLwvqugk|Taylor Swift - Anti-Hero (Official Music Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|e-ORhEE9VVg|Taylor Swift - Blank Space|240|Verified embeddable YouTube video for MINITUBE.
Music|2Vv-BfVoq4g|Ed Sheeran - Perfect (Official Music Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|CevxZvSJLk8|Katy Perry - Roar|240|Verified embeddable YouTube video for MINITUBE.
Music|hT_nvWreIhg|OneRepublic - Counting Stars|240|Verified embeddable YouTube video for MINITUBE.
Music|ktvTqknDobU|Imagine Dragons - Radioactive|240|Verified embeddable YouTube video for MINITUBE.
